MAE,loss,nasa_metric,val_MAE,val_loss,val_nasa_metric,learning_rate
64.37361145019531,597.7632446289062,65437196.0,63.9269905090332,593.7227172851562,56234724.0,0.0010000000474974513
53.75675582885742,492.4054870605469,14880724.0,55.895286560058594,513.0603637695312,47527492.0,0.0010000000474974513
43.00664520263672,386.62841796875,8474656.0,42.385276794433594,379.1626892089844,20256344.0,0.0010000000474974513
32.60304260253906,284.02960205078125,7270354.5,33.01839828491211,285.7783508300781,26207154.0,0.0010000000474974513
24.051162719726562,199.83314514160156,7468646.0,27.557655334472656,232.42967224121094,20955126.0,0.0010000000474974513
19.24770736694336,152.6865997314453,7746142.5,20.080385208129883,158.5567626953125,20375738.0,0.0010000000474974513
17.64235496520996,137.19094848632812,7673889.5,28.316530227661133,239.3606719970703,25998704.0,0.0010000000474974513
16.959762573242188,130.60691833496094,8113051.0,20.055984497070312,159.7869110107422,16766365.0,0.0010000000474974513
15.906167030334473,120.98126220703125,7751025.5,22.28481674194336,180.567626953125,20864658.0,0.0010000000474974513
15.63904857635498,117.96891784667969,8731279.0,18.256078720092773,142.00413513183594,18247964.0,0.0010000000474974513
16.064836502075195,122.16747283935547,7734770.5,17.161861419677734,133.37213134765625,11704549.0,0.0010000000474974513
14.94115161895752,111.78802490234375,7914078.5,17.279001235961914,134.2468719482422,14950588.0,0.0010000000474974513
14.188956260681152,104.49735260009766,7831295.0,17.89594078063965,139.7003173828125,9580020.0,0.0010000000474974513
14.807822227478027,109.77273559570312,7490513.5,15.588874816894531,117.30388641357422,14359302.0,0.0010000000474974513
14.105884552001953,103.26996612548828,8257941.0,16.71311378479004,127.00090789794922,15514815.0,0.0010000000474974513
13.684943199157715,99.76602935791016,7940004.0,17.950658798217773,140.03208923339844,14792428.0,0.0010000000474974513
14.141164779663086,104.5269546508789,8466520.0,15.580877304077148,117.85794830322266,10676543.0,0.0010000000474974513
13.487516403198242,98.44915008544922,7953687.5,16.599491119384766,127.75898742675781,12535025.0,0.0010000000474974513
12.975284576416016,94.026611328125,8590293.0,15.277912139892578,116.00643157958984,13121040.0,0.0005000000237487257
12.633813858032227,90.30146026611328,8376226.5,15.573673248291016,117.97834014892578,11653736.0,0.0005000000237487257
12.737439155578613,91.30419158935547,7737789.5,15.28222942352295,115.59454345703125,10726460.0,0.0005000000237487257
