Solution_ID,Total_Cost,Cost_Change_vs_Baseline_%,Weighted_Task_Completion_%,Completion_Improvement_vs_Baseline_%,Low_Importance_Completion_%,Med_Importance_Completion_%,High_Importance_Completion_%,Min_Completion_Across_Types_%,Max_Completion_Across_Types_%,Completion_Balance_StdDev,Meets_min%_Constraint,Total_Failures,Total_Maintenance,Threshold_Low_Importance,Threshold_Med_Importance,Threshold_High_Importance
1,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.64338962684039,9.756204411902601,9.88114660205883
2,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.750713382967814,9.744088054252773,9.251478581494938
3,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.082907096682207,9.465891238677901,9.272458749221107
4,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.113410559157037,9.361199497485956,10.0405525432136
5,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.737596386645428,9.00577724516667,9.162567793936779
6,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.834390684227744,9.031532804191764,10.422945262678883
7,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,10.010931011831886,9.200242382198844,9.591507673564795
8,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.809501722086121,9.129794835601986,9.857829154720218
9,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.922340120640317,9.190103236721,9.72424675942214
10,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,10.933887107087333,9.422275457214917,9.469232267500297
11,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.956650971275716,9.083852221693881,9.707462020038792
12,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.696112345994546,9.198098140434292,9.557186701711348
13,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.202057872730737,9.609709865342795,9.826407706685352
14,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.026665565598021,9.190140776639968,9.602493174419891
